donor_code,donor_name,recipient_code,recipient_name,aidtype_code,aid_type,flow_type_code,flow_type_name,year,value,unit_multiplier,currency,prices,one_indicator,last_update
2,Belgium,10001,Africa,206106,Bilateral plus imputed multilateral,D,Disbursements,1960,955.699584,6,USD,constant,ONE.10.206_106,2025-07-18
3,Denmark,10001,Africa,206106,Bilateral plus imputed multilateral,D,Disbursements,1960,1.703963,6,USD,constant,ONE.10.206_106,2025-07-18
4,France,10001,Africa,206106,Bilateral plus imputed multilateral,D,Disbursements,1960,6506.424613,6,USD,constant,ONE.10.206_106,2025-07-18
5,Germany,10001,Africa,206106,Bilateral plus imputed multilateral,D,Disbursements,1960,20.798029,6,USD,constant,ONE.10.206_106,2025-07-18
6,Italy,10001,Africa,206106,Bilateral plus imputed multilateral,D,Disbursements,1960,1026.483778,6,USD,constant,ONE.10.206_106,2025-07-18
10,Sweden,10001,Africa,206106,Bilateral plus imputed multilateral,D,Disbursements,1960,2.252536,6,USD,constant,ONE.10.206_106,2025-07-18
12,United Kingdom,10001,Africa,206106,Bilateral plus imputed multilateral,D,Disbursements,1960,1525.645233,6,USD,constant,ONE.10.206_106,2025-07-18
301,Canada,10001,Africa,206106,Bilateral plus imputed multilateral,D,Disbursements,1960,1.673136,6,USD,constant,ONE.10.206_106,2025-07-18
302,United States,10001,Africa,206106,Bilateral plus imputed multilateral,D,Disbursements,1960,2335.714816,6,USD,constant,ONE.10.206_106,2025-07-18
701,Japan,10001,Africa,206106,Bilateral plus imputed multilateral,D,Disbursements,1960,0.640299,6,USD,constant,ONE.10.206_106,2025-07-18
2,Belgium,10001,Africa,206106,Bilateral plus imputed multilateral,D,Disbursements,1961,774.497221,6,USD,constant,ONE.10.206_106,2025-07-18
3,Denmark,10001,Africa,206106,Bilateral plus imputed multilateral,D,Disbursements,1961,0.327358,6,USD,constant,ONE.10.206_106,2025-07-18
4,France,10001,Africa,206106,Bilateral plus imputed multilateral,D,Disbursements,1961,7018.074031,6,USD,constant,ONE.10.206_106,2025-07-18
5,Germany,10001,Africa,206106,Bilateral plus imputed multilateral,D,Disbursements,1961,59.052095,6,USD,constant,ONE.10.206_106,2025-07-18
6,Italy,10001,Africa,206106,Bilateral plus imputed multilateral,D,Disbursements,1961,283.255694,6,USD,constant,ONE.10.206_106,2025-07-18
9,Portugal,10001,Africa,206106,Bilateral plus imputed multilateral,D,Disbursements,1961,,6,USD,constant,ONE.10.206_106,2025-07-18
10,Sweden,10001,Africa,206106,Bilateral plus imputed multilateral,D,Disbursements,1961,3.125239,6,USD,constant,ONE.10.206_106,2025-07-18
11,Switzerland,10001,Africa,206106,Bilateral plus imputed multilateral,D,Disbursements,1961,2.382684,6,USD,constant,ONE.10.206_106,2025-07-18
12,United Kingdom,10001,Africa,206106,Bilateral plus imputed multilateral,D,Disbursements,1961,2631.846369,6,USD,constant,ONE.10.206_106,2025-07-18
301,Canada,10001,Africa,206106,Bilateral plus imputed multilateral,D,Disbursements,1961,7.271034,6,USD,constant,ONE.10.206_106,2025-07-18
302,United States,10001,Africa,206106,Bilateral plus imputed multilateral,D,Disbursements,1961,3060.709007,6,USD,constant,ONE.10.206_106,2025-07-18
701,Japan,10001,Africa,206106,Bilateral plus imputed multilateral,D,Disbursements,1961,0.69411,6,USD,constant,ONE.10.206_106,2025-07-18
1,Austria,10001,Africa,206106,Bilateral plus imputed multilateral,D,Disbursements,1962,0.429391,6,USD,constant,ONE.10.206_106,2025-07-18
2,Belgium,10001,Africa,206106,Bilateral plus imputed multilateral,D,Disbursements,1962,683.89352,6,USD,constant,ONE.10.206_106,2025-07-18
4,France,10001,Africa,206106,Bilateral plus imputed multilateral,D,Disbursements,1962,6323.382181,6,USD,constant,ONE.10.206_106,2025-07-18
5,Germany,10001,Africa,206106,Bilateral plus imputed multilateral,D,Disbursements,1962,415.014091,6,USD,constant,ONE.10.206_106,2025-07-18
6,Italy,10001,Africa,206106,Bilateral plus imputed multilateral,D,Disbursements,1962,175.486264,6,USD,constant,ONE.10.206_106,2025-07-18
8,Norway,10001,Africa,206106,Bilateral plus imputed multilateral,D,Disbursements,1962,0.532109,6,USD,constant,ONE.10.206_106,2025-07-18
10,Sweden,10001,Africa,206106,Bilateral plus imputed multilateral,D,Disbursements,1962,5.770835,6,USD,constant,ONE.10.206_106,2025-07-18
12,United Kingdom,10001,Africa,206106,Bilateral plus imputed multilateral,D,Disbursements,1962,1941.20444,6,USD,constant,ONE.10.206_106,2025-07-18
301,Canada,10001,Africa,206106,Bilateral plus imputed multilateral,D,Disbursements,1962,17.381606,6,USD,constant,ONE.10.206_106,2025-07-18
302,United States,10001,Africa,206106,Bilateral plus imputed multilateral,D,Disbursements,1962,4134.807053,6,USD,constant,ONE.10.206_106,2025-07-18
701,Japan,10001,Africa,206106,Bilateral plus imputed multilateral,D,Disbursements,1962,1.327407,6,USD,constant,ONE.10.206_106,2025-07-18
1,Austria,10001,Africa,206106,Bilateral plus imputed multilateral,D,Disbursements,1963,0.829714,6,USD,constant,ONE.10.206_106,2025-07-18
2,Belgium,10001,Africa,206106,Bilateral plus imputed multilateral,D,Disbursements,1963,795.091325,6,USD,constant,ONE.10.206_106,2025-07-18
4,France,10001,Africa,206106,Bilateral plus imputed multilateral,D,Disbursements,1963,5339.46342,6,USD,constant,ONE.10.206_106,2025-07-18
5,Germany,10001,Africa,206106,Bilateral plus imputed multilateral,D,Disbursements,1963,415.928472,6,USD,constant,ONE.10.206_106,2025-07-18
6,Italy,10001,Africa,206106,Bilateral plus imputed multilateral,D,Disbursements,1963,519.652058,6,USD,constant,ONE.10.206_106,2025-07-18
8,Norway,10001,Africa,206106,Bilateral plus imputed multilateral,D,Disbursements,1963,5.54179,6,USD,constant,ONE.10.206_106,2025-07-18
10,Sweden,10001,Africa,206106,Bilateral plus imputed multilateral,D,Disbursements,1963,16.000619,6,USD,constant,ONE.10.206_106,2025-07-18
11,Switzerland,10001,Africa,206106,Bilateral plus imputed multilateral,D,Disbursements,1963,11.132467,6,USD,constant,ONE.10.206_106,2025-07-18
12,United Kingdom,10001,Africa,206106,Bilateral plus imputed multilateral,D,Disbursements,1963,1888.125844,6,USD,constant,ONE.10.206_106,2025-07-18
301,Canada,10001,Africa,206106,Bilateral plus imputed multilateral,D,Disbursements,1963,14.107168,6,USD,constant,ONE.10.206_106,2025-07-18
302,United States,10001,Africa,206106,Bilateral plus imputed multilateral,D,Disbursements,1963,3653.270325,6,USD,constant,ONE.10.206_106,2025-07-18
701,Japan,10001,Africa,206106,Bilateral plus imputed multilateral,D,Disbursements,1963,1.62539,6,USD,constant,ONE.10.206_106,2025-07-18
1,Austria,10001,Africa,206106,Bilateral plus imputed multilateral,D,Disbursements,1964,6.163998,6,USD,constant,ONE.10.206_106,2025-07-18
2,Belgium,10001,Africa,206106,Bilateral plus imputed multilateral,D,Disbursements,1964,764.632439,6,USD,constant,ONE.10.206_106,2025-07-18
4,France,10001,Africa,206106,Bilateral plus imputed multilateral,D,Disbursements,1964,4843.269695,6,USD,constant,ONE.10.206_106,2025-07-18
5,Germany,10001,Africa,206106,Bilateral plus imputed multilateral,D,Disbursements,1964,399.735256,6,USD,constant,ONE.10.206_106,2025-07-18
6,Italy,10001,Africa,206106,Bilateral plus imputed multilateral,D,Disbursements,1964,360.927754,6,USD,constant,ONE.10.206_106,2025-07-18
8,Norway,10001,Africa,206106,Bilateral plus imputed multilateral,D,Disbursements,1964,10.226291,6,USD,constant,ONE.10.206_106,2025-07-18
10,Sweden,10001,Africa,206106,Bilateral plus imputed multilateral,D,Disbursements,1964,33.084637,6,USD,constant,ONE.10.206_106,2025-07-18
11,Switzerland,10001,Africa,206106,Bilateral plus imputed multilateral,D,Disbursements,1964,27.433084,6,USD,constant,ONE.10.206_106,2025-07-18
12,United Kingdom,10001,Africa,206106,Bilateral plus imputed multilateral,D,Disbursements,1964,2278.342086,6,USD,constant,ONE.10.206_106,2025-07-18
301,Canada,10001,Africa,206106,Bilateral plus imputed multilateral,D,Disbursements,1964,51.574145,6,USD,constant,ONE.10.206_106,2025-07-18
302,United States,10001,Africa,206106,Bilateral plus imputed multilateral,D,Disbursements,1964,3688.576007,6,USD,constant,ONE.10.206_106,2025-07-18
701,Japan,10001,Africa,206106,Bilateral plus imputed multilateral,D,Disbursements,1964,6.153699,6,USD,constant,ONE.10.206_106,2025-07-18
1,Austria,10001,Africa,206106,Bilateral plus imputed multilateral,D,Disbursements,1965,63.093432,6,USD,constant,ONE.10.206_106,2025-07-18
2,Belgium,10001,Africa,206106,Bilateral plus imputed multilateral,D,Disbursements,1965,913.769441,6,USD,constant,ONE.10.206_106,2025-07-18
3,Denmark,10001,Africa,206106,Bilateral plus imputed multilateral,D,Disbursements,1965,16.037487,6,USD,constant,ONE.10.206_106,2025-07-18
4,France,10001,Africa,206106,Bilateral plus imputed multilateral,D,Disbursements,1965,3568.076919,6,USD,constant,ONE.10.206_106,2025-07-18
5,Germany,10001,Africa,206106,Bilateral plus imputed multilateral,D,Disbursements,1965,548.608339,6,USD,constant,ONE.10.206_106,2025-07-18
6,Italy,10001,Africa,206106,Bilateral plus imputed multilateral,D,Disbursements,1965,470.810377,6,USD,constant,ONE.10.206_106,2025-07-18
7,Netherlands,10001,Africa,206106,Bilateral plus imputed multilateral,D,Disbursements,1965,15.665931,6,USD,constant,ONE.10.206_106,2025-07-18
