donor_code,donor_name,recipient_code,recipient_name,aidtype_code,aid_type,flow_type_code,flow_type_name,year,value,unit_multiplier,currency,prices,one_indicator,last_update
20001,DAC countries,10001,Africa,206106,Bilateral plus imputed multilateral,D,Disbursements,1960,11323.361096,6,USD,constant,ONE.10.206_106,2025-07-18
20001,DAC countries,10001,Africa,206106,Bilateral plus imputed multilateral,D,Disbursements,1961,13159.090851,6,USD,constant,ONE.10.206_106,2025-07-18
20001,DAC countries,10001,Africa,206106,Bilateral plus imputed multilateral,D,Disbursements,1962,13217.974052,6,USD,constant,ONE.10.206_106,2025-07-18
20001,DAC countries,10001,Africa,206106,Bilateral plus imputed multilateral,D,Disbursements,1963,12134.982224,6,USD,constant,ONE.10.206_106,2025-07-18
20001,DAC countries,10001,Africa,206106,Bilateral plus imputed multilateral,D,Disbursements,1964,11994.913046,6,USD,constant,ONE.10.206_106,2025-07-18
20001,DAC countries,10001,Africa,206106,Bilateral plus imputed multilateral,D,Disbursements,1965,10804.486932,6,USD,constant,ONE.10.206_106,2025-07-18
20001,DAC countries,10001,Africa,206106,Bilateral plus imputed multilateral,D,Disbursements,1966,9468.973298,6,USD,constant,ONE.10.206_106,2025-07-18
20001,DAC countries,10001,Africa,206106,Bilateral plus imputed multilateral,D,Disbursements,1967,10638.85446,6,USD,constant,ONE.10.206_106,2025-07-18
20001,DAC countries,10001,Africa,206106,Bilateral plus imputed multilateral,D,Disbursements,1968,8342.097064,6,USD,constant,ONE.10.206_106,2025-07-18
20001,DAC countries,10001,Africa,206106,Bilateral plus imputed multilateral,D,Disbursements,1969,8117.58913,6,USD,constant,ONE.10.206_106,2025-07-18
20001,DAC countries,10001,Africa,206106,Bilateral plus imputed multilateral,D,Disbursements,1970,8119.367635,6,USD,constant,ONE.10.206_106,2025-07-18
20001,DAC countries,10001,Africa,206106,Bilateral plus imputed multilateral,D,Disbursements,1971,8547.119261,6,USD,constant,ONE.10.206_106,2025-07-18
20001,DAC countries,10001,Africa,206106,Bilateral plus imputed multilateral,D,Disbursements,1972,7934.530488,6,USD,constant,ONE.10.206_106,2025-07-18
20001,DAC countries,10001,Africa,206106,Bilateral plus imputed multilateral,D,Disbursements,1973,8074.490481,6,USD,constant,ONE.10.206_106,2025-07-18
20001,DAC countries,10001,Africa,206106,Bilateral plus imputed multilateral,D,Disbursements,1974,9352.506491,6,USD,constant,ONE.10.206_106,2025-07-18
20001,DAC countries,10001,Africa,206106,Bilateral plus imputed multilateral,D,Disbursements,1975,14697.001325,6,USD,constant,ONE.10.206_106,2025-07-18
